VERTRAG,ZREG,ANREDE,SURNAME,NAME,STRASSE,ORT,TELEFON,EMAIL,BCN,GEBURTSTAG,ERSTELLT,GEAENDERT,BANKNAME,EMAIL_BANK,OFFICER_NAME_1,OFFICER_PHONE_1,OFFICER_NAME_2,OFFICER_PHONE_2,OFFICER_EMAIL_1,OFFICER_EMAIL_2
,95587,,,Lyxewu,,,414800418,,26733,7.2.1921,,,,,,,,,,
,32647,,,SHufufu,,,416063774,,67822,8.4.1995,,,,,,,,,,
,67244,,,Paqywu,,,418988714,,56040,24.11.1980,,,,,,,,,,
,41563,,,Waezhifu,,,418335468,,26023,14.2.1949,,,,,,,,,,
,56515,,,Joxaelu,,,417348559,,31240,29.7.1950,,,,,,,,,,
,69209,,,Daelyfae,,,415318960,,35449,23.5.1968,,,,,,,,,,
,30298,,,Lorilae,,,419133066,,20886,24.5.1973,,,,,,,,,,
,40639,,,Kyfofy,,,417430782,,27963,6.10.1964,,,,,,,,,,
,84721,,,Rukylae,,,414551667,,16877,22.10.1972,,,,,,,,,,
,63747,,,Biniqae,,,419586908,,59167,25.9.1955,,,,,,,,,,
,15775,,,Vaebuly,,,414533721,,87123,8.2.1932,,,,,,,,,,
,11883,,,Hogyqy,,,414843445,,91800,22.10.1983,,,,,,,,,,
,44480,,,Palizhy,,,411258732,,46982,19.8.1923,,,,,,,,,,
,2924,,,Motupa,,,414627976,,65344,9.8.1947,,,,,,,,,,
,65450,,,ZHebazhy,,,412887051,,97933,8.10.1934,,,,,,,,,,
,47822,,,Qunepa,,,411260274,,61358,25.3.1954,,,,,,,,,,
,8888,,,Xisuzha,,,418832828,,15426,13.11.1968,,,,,,,,,,
,76740,,,Kavaba,,,416114785,,77818,7.1.1926,,,,,,,,,,
,23108,,,Filezhe,,,419204741,,17970,13.10.1953,,,,,,,,,,
,67615,,,Napube,,,416132536,,40681,17.1.1967,,,,,,,,,,
,5921,,,Vaeshahe,,,412448209,,80823,15.7.1981,,,,,,,,,,
,35831,,,SHehibe,,,411223879,,56215,3.3.1957,,,,,,,,,,
,13435,,,Cymuhe,,,411563844,,27925,25.4.1973,,,,,,,,,,
,44020,,,Wivybi,,,414868083,,82679,16.1.1981,,,,,,,,,,
,17493,,,Jycihi,,,418149905,,40428,30.1.1987,,,,,,,,,,
,34597,,,Ruhaeli,,,413532725,,26867,26.7.1946,,,,,,,,,,
,89924,,,Lashyhi,,,416635905,,12721,11.9.1979,,,,,,,,,,
,73950,,,Taewili,,,416675973,,79966,12.11.1954,,,,,,,,,,
,69492,,,Godaesi,,,417053129,,89416,20.1.1995,,,,,,,,,,
,72943,,,Byqylo,,,413252821,,25822,26.7.1968,,,,,,,,,,
,13613,,,Luzhiso,,,415247648,,87911,27.2.1974,,,,,,,,,,
,91719,,,Hyhulu,,,416069897,,40849,23.11.1989,,,,,,,,,,
,34549,,,Pularo,,,416694744,,85108,10.8.1972,,,,,,,,,,
,89850,,,Wirivo,,,419131961,,57706,15.6.1990,,,,,,,,,,
,26320,,,ZHaeduru,,,417456021,,94748,21.8.1988,,,,,,,,,,
,58724,,,Fojavu,,,411887705,,31429,10.8.1966,,,,,,,,,,
,94581,,,Nelodu,,,411549384,,33482,15.4.1927,,,,,,,,,,
,45121,,,Koxuvae,,,414882461,,64519,1.7.1946,,,,,,,,,,
,99813,,,Sefadu,,,418450392,,82403,5.11.1944,,,,,,,,,,
,7379,,,Sefadu,,,415836200,,46350,2.2.1942,,,,,,,,,,
,9457,,,Nurevae,,,413071225,,73088,28.1.1993,,,,,,,,,,
,56733,,,Vitudae,,,415890699,,56651,14.11.1935,,,,,,,,,,
,43024,,,Habakae,,,413403461,,89694,11.8.1966,,,,,,,,,,
,40927,,,Colidy,,,415789167,,23810,30.11.1952,,,,,,,,,,
,71790,,,Mesaeky,,,418941788,,19506,14.11.1984,,,,,,,,,,
,30587,,,ZHaevapy,,,417304790,,34429,13.4.1953,,,,,,,,,,
,79022,,,Rekiky,,,412768226,,55074,12.3.1963,,,,,,,,,,
,20306,,,Xynaepy,,,417685562,,45014,15.10.1965,,,,,,,,,,
,82039,,,Tibyka,,,413340095,,68296,29.2.1985,,,,,,,,,,
,88476,,,Gagipa,,,416791511,,30985,22.1.1948,,,,,,,,,,
,96767,,,Paelaezha,,,416333558,,62138,17.6.1996,,,,,,,,,,
,1282,,,Lavypa,,,415447621,,29505,14.5.1935,,,,,,,,,,
,91980,,,SHaecisha,,,419234470,,50689,30.11.1962,,,,,,,,,,
,3792,,,Dohaexa,,,416233755,,50102,30.1.1926,,,,,,,,,,
,48240,,,Wysashe,,,415824634,,41918,27.8.1964,,,,,,,,,,
,27611,,,Juvoxe,,,413638519,,62812,26.7.1988,,,,,,,,,,
,54706,,,Falushi,,,417967984,,47208,4.8.1985,,,,,,,,,,
,82535,,,Lupaxe,,,418197592,,39664,1.2.1948,,,,,,,,,,
,36609,,,Tishoge,,,416951770,,46475,19.8.1981,,,,,,,,,,
,61384,,,Saehuxi,,,412062388,,26456,15.9.1976,,,,,,,,,,
,87449,,,Comagi,,,418020242,,74183,3.10.1920,,,,,,,,,,
,2674,,,Meqomi,,,413558971,,50764,6.9.1923,,,,,,,,,,
,69087,,,Hudugo,,,411997153,,32902,8.3.1948,,,,,,,,,,
,94913,,,Qijami,,,418588388,,80664,16.3.1942,,,,,,,,,,
